Start,End,SleepQuality,SleepHours,WakeUp,SleepNotes,HeartRate,ActivitySteps
10/22/2022 21:46,10/23/2022 5:30,80%,7:44,:),Drank coffee:Drank tea:Worked out,70,0
10/24/2022 0:32,10/24/2022 8:12,77%,7:40,:),Drank coffee:Drank tea:Worked out,,0
10/24/2022 22:38,10/25/2022 6:33,81%,7:55,:),Drank coffee:Drank tea,,0
10/26/2022 23:09,10/27/2022 6:05,77%,6:55,:),Drank coffee:Drank tea,65,0
10/27/2022 21:34,10/28/2022 5:35,78%,8:01,:|,Drank coffee:Worked out,,0
10/28/2022 22:28,10/29/2022 6:20,83%,7:51,:|,Drank tea:Worked out,53,0
10/29/2022 22:30,10/30/2022 6:10,81%,7:40,:|,Drank tea:Worked out,57,0
10/31/2022 1:01,10/31/2022 7:50,50%,6:48,:),Drank coffee:Drank tea,,0
11/2/2022 22:00,11/3/2022 6:10,83%,8:09,:|,Drank coffee:Drank tea:Worked out,55,0
11/3/2022 22:46,11/4/2022 6:09,75%,7:23,:|,Drank coffee:Drank tea:Worked out,,0
11/4/2022 22:49,11/5/2022 6:00,65%,7:11,:|,Drank coffee:Drank tea:Worked out,,0
11/5/2022 21:36,11/6/2022 5:29,77%,7:52,:|,Drank coffee:Drank tea:Worked out,,0
11/7/2022 0:19,11/7/2022 8:13,93%,7:54,:),Drank coffee:Drank tea:Worked out,98,0
11/8/2022 23:28,11/9/2022 6:20,69%,6:52,:),Drank coffee:Drank tea,,0
11/9/2022 21:59,11/10/2022 5:41,88%,7:41,:),Drank coffee:Drank tea:Worked out,,0
11/10/2022 22:56,11/11/2022 6:28,83%,7:32,:),Drank coffee:Drank tea:Worked out,,0
11/11/2022 22:57,11/12/2022 6:20,72%,7:23,:),Drank coffee:Drank tea,,0
11/13/2022 22:59,11/14/2022 7:46,96%,8:46,:),Drank coffee:Drank tea,59,0
11/15/2022 22:17,11/16/2022 6:30,72%,8:13,:),Drank coffee:Drank tea,62,0
11/18/2022 22:07,11/19/2022 5:30,80%,7:23,:),Ate late:Drank coffee:Drank tea:Worked out,63,0
11/19/2022 23:10,11/20/2022 6:00,73%,6:50,:),Drank coffee:Drank tea:Worked out,62,0
11/22/2022 21:57,11/23/2022 5:30,83%,7:33,:),Drank tea,,0
11/23/2022 22:15,11/24/2022 5:00,74%,6:44,:),Drank coffee:Drank tea:Worked out,,0
11/24/2022 22:33,11/25/2022 6:30,87%,7:57,:),Drank coffee:Drank tea:Worked out,,0
11/25/2022 23:26,11/26/2022 6:20,69%,6:54,:),Drank coffee:Drank tea:Worked out,,0
11/26/2022 22:25,11/27/2022 6:20,81%,7:55,:),Drank coffee:Drank tea:Worked out,,0
11/28/2022 1:20,11/28/2022 7:46,58%,6:25,:),Drank coffee:Drank tea:Worked out,59,0
11/29/2022 22:20,11/30/2022 6:20,68%,7:59,:),Drank tea,,0
11/30/2022 21:23,12/1/2022 6:19,64%,8:55,:),Drank coffee:Drank tea:Worked out,,0
12/1/2022 23:03,12/2/2022 6:20,84%,7:17,:),Drank coffee:Drank tea:Worked out,57,0
12/2/2022 22:19,12/3/2022 5:11,75%,6:51,:),Drank coffee:Drank tea,,0
12/3/2022 22:51,12/4/2022 5:01,70%,6:09,:),Ate late:Drank coffee:Drank tea,,0
12/6/2022 22:10,12/7/2022 5:31,86%,7:20,:),Drank coffee:Drank tea,68,0
12/7/2022 21:20,12/8/2022 5:00,86%,7:40,:),Drank tea:Stressful day:Worked out,61,0
12/8/2022 22:17,12/9/2022 5:45,79%,7:28,:),Drank coffee:Drank tea:Stressful day:Worked out,,0
